(7.534921485307585e-06, -4.444450648179362e-06, 1.0009820892610553)
(7.480400868840438e-06, -4.443431273621494e-06, 1.0009828462508676)
(7.4292857245317966e-06, -4.443815700187243e-06, 1.0009835425829776)
(7.381338149253588e-06, -4.445505975952549e-06, 1.0009841831173305)
(7.336336701120272e-06, -4.448410919834317e-06, 1.0009847723245306)
(7.294075273978307e-06, -4.452445659227987e-06, 1.000985314317029)
(7.254362047555979e-06, -4.4575311986742695e-06, 1.0009858128778137)
(7.217018508386639e-06, -4.463594017552152e-06, 1.0009862714868007)
(7.181878537218213e-06, -4.4705656950624126e-06, 1.0009866933451128)
(7.148787557845257e-06, -4.478382560401532e-06, 1.0009870813974122)
(7.0053607612234415e-06, -4.440598602382866e-06, 1.00098730931893)
(6.773250145178403e-06, -4.366081082735404e-06, 1.0009874058628399)
(6.555107885893322e-06, -4.297246491568725e-06, 1.000987491743319)
(6.353329957756455e-06, -4.2351547265220705e-06, 1.0009875712144)
(6.166544709273372e-06, -4.179260316339396e-06, 1.0009876446160848)
(5.993588955280029e-06, -4.129090063247075e-06, 1.0009877123989241)
(5.833402771168137e-06, -4.084208330871227e-06, 1.0009877749929161)
(5.685008226999609e-06, -4.044211367407029e-06, 1.0009878327953043)
(5.5475024878769434e-06, -4.008725695781156e-06, 1.0009878861728914)
(5.420051933133357e-06, -3.9774061784892865e-06, 1.000987935464398)
(5.301886797545979e-06, -3.9499339984200106e-06, 1.0009879809826154)
(5.192296257803741e-06, -3.926014703749362e-06, 1.00098802301639)
(5.090623911038722e-06, -3.9053763669901755e-06, 1.0009880618324563)
(4.99626360487374e-06, -3.887767870363761e-06, 1.000988097677131)
(4.827282960632704e-06, -3.860730558441413e-06, 1.0009881613447345)
(4.751668389301905e-06, -3.850889842493385e-06, 1.0009881895716803)
(4.681371082039584e-06, -3.843252552350066e-06, 1.0009882156378327)
(4.615983988717639e-06, -3.837650050874909e-06, 1.0009882397086)
(4.555131219441891e-06, -3.833926610314505e-06, 1.0009882619367294)
(4.498465658147622e-06, -3.8319384236540795e-06, 1.000988282463274)
(4.445666760709463e-06, -3.831552692396842e-06, 1.0009883014184908)
(4.3964385206713735e-06, -3.832646783785507e-06, 1.0009883189226643)
(4.350507590576066e-06, -3.835107452493983e-06, 1.0009883350868718)
